<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
CHMF,M,230401,000000,1053,1067,986.4,1002,19265480
CHMF,M,230501,000000,1002.4,1042.4,942.6,1024,15145904
CHMF,M,230601,000000,1026,1205,1008,1174,28187522
CHMF,M,230701,000000,1177,1375,1174,1367.6,19403724
CHMF,M,230801,000000,1368.4,1429.2,1251.6,1427.4,30468132
CHMF,M,230901,000000,1427.2,1445,1258,1368.4,25344988
CHMF,M,231001,000000,1370.8,1437.8,1340.4,1354.8,16374707
CHMF,M,231101,000000,1356.6,1400,1266,1268.2,14258244
CHMF,M,231201,000000,1265,1414,1216.4,1407,16439529
CHMF,M,240101,000000,1407,1688.8,1403.4,1664,28836336
CHMF,M,240201,000000,1658.2,1710,1550,1651.6,27655234
CHMF,M,240301,000000,1651.8,1894.4,1639,1877.8,18266681
CHMF,M,240401,000000,1877.8,1896,1805.8,1831.2,8254903
