<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,M,230401,000000,170.98,185.32,169,181.13,761518450
GAZP,M,230501,000000,181.01,181.86,160.47,162.94,923837870
GAZP,M,230601,000000,162.88,172.46,161.1,166.86,471778440
GAZP,M,230701,000000,167.28,175.7,165.02,174.33,425104380
GAZP,M,230801,000000,175.09,183.89,170.6,177.99,987026290
GAZP,M,230901,000000,178.09,184,163.51,167.09,660850430
GAZP,M,231001,000000,167.79,173.3,164.81,167.88,552696100
GAZP,M,231101,000000,167.88,171.31,161.55,163.23,363245390
GAZP,M,231201,000000,163.22,168.89,157.26,159.52,514187480
GAZP,M,240101,000000,159.73,168.96,159.73,166.33,348162800
GAZP,M,240201,000000,166.71,167.85,158,161.82,375177470
GAZP,M,240301,000000,161.81,163.31,155.75,157.22,379222000
GAZP,M,240401,000000,157.69,166.8,157.43,164.38,351515880
