<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
YNDX,M,230401,000000,1910,2159,1892,2070.6,13823661
YNDX,M,230501,000000,2075,2410,1922.2,2324.2,28721733
YNDX,M,230601,000000,2328,2655,2260.2,2439.6,23787325
YNDX,M,230701,000000,2455.2,2685,2296,2635,20419666
YNDX,M,230801,000000,2635,2872,2450.2,2689,26226054
YNDX,M,230901,000000,2690,2756,2323.2,2402.2,20290879
YNDX,M,231001,000000,2415.8,2772.4,2360.2,2612,25777758
YNDX,M,231101,000000,2611.6,2677.8,2501,2523.4,17131407
YNDX,M,231201,000000,2526.4,2610,2116.2,2540,33004024
YNDX,M,240101,000000,2550,3138.8,2542,3026,30038824
YNDX,M,240201,000000,3025,3543.8,2870,3383,68670877
YNDX,M,240301,000000,3385.6,4080,3380.2,3994,41858803
YNDX,M,240401,000000,4020,4077,3735.8,4049.6,12832955
